FrameCnt,DiffTime_ms,Date,Time,rel_alt,abs_alt,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,ct,center_lat,center_lon,ground_offset_m,heading_deg
32,33,2026-04-27,15:27:36.296,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
33,33,2026-04-27,15:27:36.329,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
34,34,2026-04-27,15:27:36.362,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
35,33,2026-04-27,15:27:36.396,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
36,33,2026-04-27,15:27:36.428,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
37,34,2026-04-27,15:27:36.462,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
38,33,2026-04-27,15:27:36.496,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
39,33,2026-04-27,15:27:36.529,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
40,34,2026-04-27,15:27:36.563,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
41,33,2026-04-27,15:27:36.596,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
42,34,2026-04-27,15:27:36.629,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
43,33,2026-04-27,15:27:36.663,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
44,33,2026-04-27,15:27:36.696,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
45,34,2026-04-27,15:27:36.730,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
46,33,2026-04-27,15:27:36.763,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5452,32.102483,35.2091578904535,49.79999999999999,270.0
47,33,2026-04-27,15:27:36.796,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5451,32.102483,35.2091578904535,49.79999999999999,270.0
48,34,2026-04-27,15:27:36.829,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5450,32.102483,35.2091578904535,49.79999999999999,270.0
49,33,2026-04-27,15:27:36.863,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5449,32.102483,35.2091578904535,49.79999999999999,270.0
50,33,2026-04-27,15:27:36.896,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5447,32.102483,35.2091578904535,49.79999999999999,270.0
51,34,2026-04-27,15:27:36.930,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5445,32.102483,35.2091578904535,49.79999999999999,270.0
52,33,2026-04-27,15:27:36.963,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5443,32.102483,35.2091578904535,49.79999999999999,270.0
53,34,2026-04-27,15:27:36.996,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5441,32.102483,35.2091578904535,49.79999999999999,270.0
54,33,2026-04-27,15:27:37.029,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5440,32.102483,35.2091578904535,49.79999999999999,270.0
55,33,2026-04-27,15:27:37.062,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5438,32.102483,35.2091578904535,49.79999999999999,270.0
56,34,2026-04-27,15:27:37.096,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5437,32.102483,35.2091578904535,49.79999999999999,270.0
57,33,2026-04-27,15:27:37.130,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5436,32.102483,35.2091578904535,49.79999999999999,270.0
58,33,2026-04-27,15:27:37.162,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209686,5434,32.102483,35.2102141095465,49.79999999999999,90.0
59,34,2026-04-27,15:27:37.197,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5433,32.102483,35.2102151095465,49.79999999999999,90.0
60,33,2026-04-27,15:27:37.230,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5432,32.102483,35.2102151095465,49.79999999999999,90.0
61,34,2026-04-27,15:27:37.263,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5432,32.102483,35.2102151095465,49.79999999999999,90.0
62,33,2026-04-27,15:27:37.297,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5431,32.102483,35.2102151095465,49.79999999999999,90.0
63,33,2026-04-27,15:27:37.330,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5431,32.102483,35.2102151095465,49.79999999999999,90.0
64,34,2026-04-27,15:27:37.363,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5431,32.102483,35.2102151095465,49.79999999999999,90.0
65,33,2026-04-27,15:27:37.397,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5431,32.102483,35.2102151095465,49.79999999999999,90.0
66,33,2026-04-27,15:27:37.430,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5431,32.102483,35.2102151095465,49.79999999999999,90.0
67,34,2026-04-27,15:27:37.463,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5432,32.102483,35.2102151095465,49.79999999999999,90.0
68,33,2026-04-27,15:27:37.497,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5433,32.102483,35.2102151095465,49.79999999999999,90.0
69,33,2026-04-27,15:27:37.530,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5434,32.102483,35.2102151095465,49.79999999999999,90.0
70,34,2026-04-27,15:27:37.563,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209687,5435,32.102483,35.2102151095465,49.79999999999999,90.0
71,33,2026-04-27,15:27:37.597,49.8,759.842,120,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5436,32.102483,35.2102161095465,49.79999999999999,90.0
72,34,2026-04-27,15:27:37.630,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5438,32.102483,35.2102161095465,49.79999999999999,90.0
73,33,2026-04-27,15:27:37.664,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5440,32.102483,35.2102161095465,49.79999999999999,90.0
74,33,2026-04-27,15:27:37.696,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5442,32.102483,35.2102161095465,49.79999999999999,90.0
75,34,2026-04-27,15:27:37.730,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5443,32.102483,35.2102161095465,49.79999999999999,90.0
76,33,2026-04-27,15:27:37.764,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5445,32.102483,35.2102161095465,49.79999999999999,90.0
77,33,2026-04-27,15:27:37.796,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5447,32.102483,35.2102161095465,49.79999999999999,90.0
78,34,2026-04-27,15:27:37.831,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5449,32.102483,35.2102161095465,49.79999999999999,90.0
79,33,2026-04-27,15:27:37.864,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5451,32.102483,35.2102161095465,49.79999999999999,90.0
80,33,2026-04-27,15:27:37.897,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5452,32.102483,35.2102161095465,49.79999999999999,90.0
81,34,2026-04-27,15:27:37.931,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5453,32.102483,35.2102161095465,49.79999999999999,90.0
82,33,2026-04-27,15:27:37.964,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5454,32.102483,35.2102161095465,49.79999999999999,90.0
83,34,2026-04-27,15:27:37.998,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5455,32.102483,35.2102161095465,49.79999999999999,90.0
84,33,2026-04-27,15:27:38.030,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5456,32.102483,35.2102161095465,49.79999999999999,90.0
85,33,2026-04-27,15:27:38.064,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209688,5458,32.102483,35.2102161095465,49.79999999999999,90.0
86,34,2026-04-27,15:27:38.098,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5460,32.102483,35.2102171095465,49.79999999999999,90.0
87,33,2026-04-27,15:27:38.131,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5461,32.102483,35.2102171095465,49.79999999999999,90.0
88,33,2026-04-27,15:27:38.164,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5463,32.102483,35.2102171095465,49.79999999999999,90.0
89,34,2026-04-27,15:27:38.198,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5466,32.102483,35.2102171095465,49.79999999999999,90.0
90,33,2026-04-27,15:27:38.231,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5469,32.102483,35.2102171095465,49.79999999999999,90.0
91,34,2026-04-27,15:27:38.264,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5472,32.102483,35.2102171095465,49.79999999999999,90.0
92,33,2026-04-27,15:27:38.297,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5474,32.102483,35.2102171095465,49.79999999999999,90.0
93,33,2026-04-27,15:27:38.331,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5477,32.102483,35.2102171095465,49.79999999999999,90.0
94,34,2026-04-27,15:27:38.364,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5481,32.102483,35.2102171095465,49.79999999999999,90.0
95,33,2026-04-27,15:27:38.397,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5484,32.102483,35.2102171095465,49.79999999999999,90.0
96,33,2026-04-27,15:27:38.431,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5488,32.102483,35.2102171095465,49.79999999999999,90.0
97,34,2026-04-27,15:27:38.465,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5491,32.102483,35.2102171095465,49.79999999999999,90.0
98,33,2026-04-27,15:27:38.498,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5494,32.102483,35.2102171095465,49.79999999999999,90.0
99,33,2026-04-27,15:27:38.531,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5498,32.102483,35.2102171095465,49.79999999999999,90.0
100,34,2026-04-27,15:27:38.564,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.209689,5500,32.102483,35.2102171095465,49.79999999999999,90.0
101,33,2026-04-27,15:27:38.598,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5503,32.102483,35.2102181095465,49.79999999999999,90.0
102,34,2026-04-27,15:27:38.631,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5506,32.102483,35.2102181095465,49.79999999999999,90.0
103,33,2026-04-27,15:27:38.665,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5508,32.102483,35.2102181095465,49.79999999999999,90.0
104,33,2026-04-27,15:27:38.698,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5510,32.102483,35.2102181095465,49.79999999999999,90.0
105,34,2026-04-27,15:27:38.731,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5513,32.102483,35.2102181095465,49.79999999999999,90.0
106,33,2026-04-27,15:27:38.764,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5514,32.102483,35.2102181095465,49.79999999999999,90.0
107,33,2026-04-27,15:27:38.798,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5515,32.102483,35.2102181095465,49.79999999999999,90.0
108,34,2026-04-27,15:27:38.831,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5517,32.102483,35.2102181095465,49.79999999999999,90.0
109,33,2026-04-27,15:27:38.865,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
110,33,2026-04-27,15:27:38.898,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
111,34,2026-04-27,15:27:38.932,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
112,33,2026-04-27,15:27:38.965,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
113,34,2026-04-27,15:27:38.998,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
114,33,2026-04-27,15:27:39.031,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
115,33,2026-04-27,15:27:39.065,49.8,759.842,110,1/1250.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
116,34,2026-04-27,15:27:39.098,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
117,33,2026-04-27,15:27:39.132,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5518,32.102483,35.2102181095465,49.79999999999999,90.0
118,33,2026-04-27,15:27:39.165,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5517,32.102483,35.2102181095465,49.79999999999999,90.0
119,34,2026-04-27,15:27:39.199,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5517,32.102483,35.2102181095465,49.79999999999999,90.0
120,33,2026-04-27,15:27:39.232,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5516,32.102483,35.2102181095465,49.79999999999999,90.0
121,34,2026-04-27,15:27:39.264,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5516,32.102483,35.2102181095465,49.79999999999999,90.0
122,33,2026-04-27,15:27:39.299,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5516,32.102483,35.2102181095465,49.79999999999999,90.0
123,33,2026-04-27,15:27:39.332,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5515,32.102483,35.2102181095465,49.79999999999999,90.0
124,34,2026-04-27,15:27:39.365,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102483,35.20969,5515,32.102683065926435,35.210162355538216,49.79999999999999,63.43494882292201
125,33,2026-04-27,15:27:39.399,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
126,33,2026-04-27,15:27:39.431,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
127,34,2026-04-27,15:27:39.466,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
128,33,2026-04-27,15:27:39.499,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
129,33,2026-04-27,15:27:39.532,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
130,34,2026-04-27,15:27:39.566,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
131,33,2026-04-27,15:27:39.599,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
132,34,2026-04-27,15:27:39.632,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
133,33,2026-04-27,15:27:39.666,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
134,33,2026-04-27,15:27:39.699,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
135,34,2026-04-27,15:27:39.733,49.8,759.842,110,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
136,33,2026-04-27,15:27:39.766,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
137,33,2026-04-27,15:27:39.799,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
138,34,2026-04-27,15:27:39.833,49.8,759.842,120,1/1000.0,1.7,0,default,24.0,32.102482,35.20969,5514,32.10268206592644,35.21016235553304,49.79999999999999,63.43494882292201
