frame_num,gt_lat,gt_lon,n_inliers,matched_frame,pred_lat,pred_lon
0,32.10292936101149,35.209687,91,7370,32.10221419126641,35.209480093172445
10,32.10293036101149,35.209687,72,7220,32.102717191266656,35.209705090264215
20,32.102483,35.2091578904535,93,7370,32.10221419126641,35.209480093172445
30,32.102483,35.2091578904535,60,7220,32.102717191266656,35.209705090264215
40,32.102483,35.2091578904535,7,6160,,
50,32.102483,35.2091578904535,50,7260,32.10257146827043,35.20965086903924
60,32.102483,35.2102151095465,12,7200,32.10277519126665,35.20973108992894
70,32.102483,35.2102161095465,8,7260,,
80,32.102483,35.2102161095465,7,1030,,
90,32.102483,35.2102171095465,8,7300,,
100,32.102483,35.2102181095465,7,7320,,
110,32.102483,35.2102181095465,7,7260,,
120,32.102483,35.2102181095465,7,7200,,
130,32.10268206592644,35.21016235553304,6,7260,,
140,32.10293036101149,35.209689,8,7260,,
150,32.10283898176178,35.20936104369737,7,7260,,
160,32.102859708077865,35.20937416191209,7,7200,,
170,32.10286288880935,35.209356134196014,7,7280,,
180,32.10288722686115,35.209373057428046,7,7260,,
190,32.102905226861154,35.20936005737031,8,7280,,
200,32.102919226861154,35.2093500573254,8,7260,,
210,32.102935226861156,35.20933905727408,7,7260,,
220,32.10295922686129,35.20932305719734,6,7260,,
230,32.10297822686135,35.20931005713652,7,7260,,
240,32.10299722686129,35.20929705707545,7,1090,,
250,32.103025226861284,35.20927805698564,9,1080,,
260,32.103047226861285,35.20926405691507,7,1540,,
270,32.103076361379,35.20926210184426,9,1050,,
280,32.103107361379,35.20924210174925,7,7260,,
290,32.103130361379,35.20922710167876,6,7200,,
300,32.103155361379,35.20921210160214,7,7160,,
310,32.10318936137915,35.20919110149823,7,7220,,
320,32.10322706388321,35.209198526340444,8,5490,,
330,32.103252063883275,35.209183526270394,6,5570,,
340,32.10329793533049,35.20918534690557,7,5250,,
350,32.10333080365862,35.209196513367665,7,1530,,
360,32.103357803658746,35.209184513304564,7,1440,,
370,32.10340136427154,35.20918586395797,7,1150,,
380,32.10343287716798,35.2091855672804,7,1150,,
390,32.10347035456577,35.20920894318818,9,1210,,
400,32.10351387542397,35.20922165658383,9,1140,,
410,32.103544584954385,35.20923020612356,34,1100,32.102633,35.20844456571119
420,32.103580022403975,35.209288200275125,7,1760,,
430,32.103620259326775,35.209339,7,5490,,
440,32.10364350885416,35.2093995309258,7,5600,,
450,32.10366879781295,35.20940963599432,7,6500,,
460,32.103693708030626,35.209464564016756,6,7150,,
470,32.10371700393013,35.20948608650105,8,5610,,
480,32.10371718965032,35.2095740344169,7,5610,,
490,32.10374680365868,35.209593487609204,9,6460,,
500,32.103760131852944,35.209626180036935,10,6460,32.10474751620451,35.21185934547578
510,32.1037831318528,35.209638180096746,6,5550,,
520,32.10380506388328,35.20967447528262,7,6460,,
530,32.103829063883275,35.20968847535002,7,6470,,
540,32.103850418130136,35.209708018518796,7,5530,,
550,32.103874361379006,35.20974490060147,7,5490,,
560,32.10389936137901,35.20976090067809,7,5610,,
570,32.10392436137891,35.2097759007549,7,1540,,
580,32.10395122686138,35.209811945984505,8,1480,,
590,32.10397522686129,35.20982894606165,7,1480,,
600,32.10398688880923,35.20987086970401,6,1540,,
610,32.10399867347146,35.209927767059256,7,7260,,
620,32.104022673471185,35.20994776715103,7,7260,,
630,32.104023332004864,35.20999443484646,7,5600,,
640,32.10403058928751,35.21004844838985,7,1520,,
650,32.1040234166072,35.21009649352141,87,6050,32.103735017478854,35.21067756231409
660,32.10404141660684,35.210120493605004,76,6040,32.103718683852925,35.21063557748499
670,32.104032100861915,35.21017884243343,8,7300,,
680,32.104048100861675,35.210205842512075,82,6040,32.103718683852925,35.21063557748499
690,32.104043257712995,35.21024565759148,39,6110,32.103816683853175,35.21088657875066
700,32.10404406592655,35.210293362577545,82,6040,32.103718683852925,35.21063557748499
710,32.104059065926435,35.21032136265519,85,6040,32.103718683852925,35.21063557748499
720,32.104073065926436,35.21034936272761,95,6040,32.103718683852925,35.21063557748499
730,32.10409306592655,35.21038936283099,111,6040,32.103718683852925,35.21063557748499
740,32.104108065926546,35.210418362908584,126,6040,32.103718683852925,35.21063557748499
