frame_num,FrameCnt,rel_alt,latitude,longitude,heading_deg,center_lat,center_lon,filename
670,671,114.6,32.102631,35.209722,45.0,32.10335894473409,35.210581339943595,frame_00670.jpg
680,681,115.2,32.102632,35.209723,45.0,32.10336375596306,35.21058683911506,frame_00680.jpg
690,691,115.5,32.102632,35.209723,45.0,32.10336566157755,35.21058908869608,frame_00690.jpg
700,701,115.9,32.102633,35.209723,45.0,32.10336920239686,35.210592088146974,frame_00700.jpg
710,711,116.3,32.102633,35.209724,90.0,32.102633,35.21095731809507,frame_00710.jpg
720,721,116.8,32.102633,35.209724,90.0,32.102633,35.21096262040846,frame_00720.jpg
730,731,117.3,32.102634,35.209725,90.0,32.102634,35.21096892273547,frame_00730.jpg
740,741,117.7,32.102634,35.209725,90.0,32.102634,35.21097316458623,frame_00740.jpg
750,751,117.8,32.102634,35.209726,90.0,32.102634,35.21097522504893,frame_00750.jpg
760,761,117.8,32.102634,35.209726,90.0,32.102634,35.21097522504893,frame_00760.jpg
770,771,117.8,32.102635,35.209727,90.0,32.102635,35.2109762250626,frame_00770.jpg
780,781,117.8,32.102635,35.209727,90.0,32.102635,35.2109762250626,frame_00780.jpg
790,791,118.0,32.102635,35.209728,90.0,32.102635,35.210979345988,frame_00790.jpg
800,801,118.3,32.102635,35.209728,90.0,32.102635,35.2109825273761,frame_00800.jpg
810,811,118.3,32.102635,35.209728,90.0,32.102635,35.2109825273761,frame_00810.jpg
820,821,118.3,32.102635,35.209729,90.0,32.102635,35.21098352737611,frame_00820.jpg
830,831,118.6,32.102635,35.209729,90.0,32.102635,35.21098670876422,frame_00830.jpg
840,841,118.9,32.102635,35.209729,90.0,32.102635,35.21098989015232,frame_00840.jpg
850,851,118.9,32.102635,35.20973,90.0,32.102635,35.21099089015232,frame_00850.jpg
860,861,119.0,32.102635,35.20973,90.0,32.102635,35.21099195061502,frame_00860.jpg
870,871,119.3,32.102635,35.209731,90.0,32.102635,35.210996132003125,frame_00870.jpg
880,881,119.4,32.102635,35.209731,90.0,32.102635,35.210997192465825,frame_00880.jpg
890,891,119.4,32.102635,35.209731,90.0,32.102635,35.210997192465825,frame_00890.jpg
900,901,119.4,32.102634,35.209731,63.43494882292201,32.10311367613688,35.21086351695807,frame_00900.jpg
910,911,119.7,32.102635,35.209731,0.0,32.10371028339509,35.209731,frame_00910.jpg
920,921,119.8,32.102635,35.209731,0.0,32.10371118171037,35.209731,frame_00920.jpg
930,931,119.8,32.102635,35.209731,0.0,32.10371118171037,35.209731,frame_00930.jpg
940,941,119.8,32.102635,35.209732,0.0,32.10371118171037,35.209732,frame_00940.jpg
950,951,119.8,32.102635,35.209732,0.0,32.10371118171037,35.209732,frame_00950.jpg
960,961,119.8,32.102635,35.209731,0.0,32.10371118171037,35.209731,frame_00960.jpg
970,971,119.8,32.102636,35.209731,0.0,32.10371218171037,35.209731,frame_00970.jpg
980,981,119.8,32.102637,35.209731,0.0,32.103713181710376,35.209731,frame_00980.jpg
990,991,119.8,32.102637,35.209731,0.0,32.103713181710376,35.209731,frame_00990.jpg
1000,1001,119.8,32.102637,35.209731,0.0,32.103713181710376,35.209731,frame_01000.jpg
1010,1011,119.8,32.102637,35.209732,0.0,32.103713181710376,35.209732,frame_01010.jpg
1020,1021,119.8,32.102636,35.209732,180.0,32.10155981828962,35.209732,frame_01020.jpg
1030,1031,119.8,32.102634,35.209732,180.0,32.10155781828963,35.209732,frame_01030.jpg
